70	3	60
23	-80	35
15	-61	34
-75	41	30
11	-38	25
-70	-75	26
37	46	13
-28	70	25
34	61	15
-75	-12	27
-2	35	35
-76	7	23
-74	-15	37
58	53	34
42	79	12
-77	-25	10
10	50	40
26	-51	22
14	23	13
75	2	10
45	51	31
21	28	31
61	37	14
-74	30	24
-59	-44	33
47	-16	33
-2	37	38
-55	-6	25
-27	80	24
31	-19	26
-1	55	21
6	-28	13
70	73	19
0	78	31
7	14	30
-50	-64	13
-40	74	23
47	69	30
-16	-1	22
29	-4	23
-57	-16	19
39	9	28
-53	-9	18
-35	23	35
77	23	17
-61	71	22
-3	-56	19
24	6	30
-14	-11	35
64	-34	20
-20	43	23
-16	11	13
-73	45	11
10	-12	30
-58	-52	36
-25	-61	15
78	-75	27
-66	51	34
34	54	23
34	-40	11
3	33	35
-73	75	31
63	-14	12
-25	77	15
-49	-64	20
3	-76	38
73	-30	28
-62	-75	28
67	-72	23
6	22	24
-30	74	21
